"Parent","Child"
"Alexandria","Alla"
"Antoinette","Antonia"
"Bartholomew","Bart"
"Carthaette","Etta"
"Christiana","Christine"
"Christopher","Chris"
"Clementine","Clem"
"Deliverance","Della"
"Democrates","Mock"
"Euphrosina","Fenee"
"Maximillian","Max"
"Melchizedek","Dick"
"Montgomery","Gum"
"Philadelphia","Delphia"
"Adelbert","Albert"
"Adelphia","Adele"
"Alderick","Al"
"Alexander","Alec"
"Alphinias","Alphus"
"Anastasia","Ana"
"Anderson","Ander"
"Antoinette","Net"
"Aphrodite","Dite"
"Arabella","Ara"
"Augustus","Augustine"
"Avarilla","Rilla"
"Bartholomew","Bartel"
"Bazaleel","Basil"
"Beatrice","Bea"
"Benedict","Bennett"
"Benjamin","Ben"
"Bradford","Brad"
"Campbell","Cam"
"Carmellia","Mellia"
"Charlotte","Car"
"Christian","Chris"
"Christiana","Chris"
"Christopher","Christian"
"Clarence","Clair"
"Clarissa","Clarinda"
"Clifford","Cliff"
"Columbus","Lum"
"Cornelius","Neil"
"Courtney","Court"
"Cyrenius","Cene"
"Demerias","Demaris"
"Drusilla","Silla"
"Ebenezer","Eb"
"Elbertson","Elbert"
"Eliphalet","Left"
"Elizabeth","Bess"
"Ernestine","Erna"
"Euphrosina","Fena"
"Eustacia","Stacia"
"Felicity","Flick"
"Florence","Flo"
"Frederica","Fredricka"
"Frederick","Fred"
"Fredonia","Donia"
"Gabrielle","Ella"
"Gabrilla","Rilla"
"Geraldine","Dina"
"Gerhardt","Gay"
"Greenberry","Green"
"Gretchen","Margaret"
"Griselda","Grissel"
"Gwendolyn","Gwen"
"Hamilton","Ham"
"Henrietta","Etta"
"Hermione","Hermoine"
"Hezekiah","Hez"
"Isabella","Isabelle"
"Jedediah","Diah"
"Jefferson","Jeff"
"Jennifer","Winifred"
"Jonathan","John"
"Josephine","Josepha"
"Karonhappuck","Karen"
"Katherine","Katarina"
"Lafayette","Fate"
"Laurinda","Lorinda"
"Lecurgus","Curg"
"Leonidas","Leon"
"Littleberry","Lb"
"Madeline","Lena"
"Magdelina","Lena"
"Margarita","Rita"
"Marianna","Marian"
"Maryanne","Marianne"
"Melchizedek","Zadock"
"Mindwell","Mina"
"Mitchell","Michael"
"Mortimer","Mort"
"Nadezhda","Nadia"
"Napoleon","Leon"
"Nathaniel","Jonathan"
"Nicholas","Nick"
"Nicolena","Nicole"
"Patience","Pat"
"Patricia","Pat"
"Percival","Perce"
"Philadelphia","Delpha"
"Philetus","Leet"
"Philinda","Linda"
"Philipina","Phoebe"
"Philomena","Mena"
"Pleasant","Ples"
"Prescott","Pres"
"Priscilla","Cil"
"Randolph","Dolph"
"Reginald","Reg"
"Rhodella","Rhoda"
"Rosabella","Rosable"
"Rudolphus","Adoph"
"Sigismund","Sigmund"
"Sophronia","Frona"
"Sylvester","Si"
"Theodosia","Dosia"
"Thomasine","Thomasa"
"Valentina","Val"
"Zachariah","Zach"
"Abigail","Ab"
"Abijah","Ab"
"Abraham","Abe"
"Absalom","Ab"
"Adaline","Ada"
"Adelaide","Adela"
"Adelbert","Del"
"Aileen","Helen"
"Alanson","Al"
"Albert","Al"
"Alberta","Abertina"
"Alderick","Rich"
"Alexander","Alex"
"Alexandria","Elic"
"Alfred","Al"
"Almira","Myra"
"Alonzo","Al"
"Alphinias","Aphinius"
"Althea","Thea"
"Amanda","Armanda"
"Andrea","Andria"
"Angela","Angelica"
"Anselm","Anse"
"Aphrodite","Ditus"
"Aquilla","Quil"
"Arabella","Bella"
"Arlene","Lena"
"Arthur","Art"
"Asenath","Assene"
"Aubrey","Bree"
"Audrey","Dee"
"Augusta","Augustina"
"Augustus","Gus"
"Aurelia","Aurilla"
"Aurilla","Ora"
"Azariah","Aze"
"Azubah","Zubiah"
"Barbara","Babs"
"Barnabas","Barnard"
"Bartholomew","Barth"
"Beatrice","Trisha"
"Bedelia","Delia"
"Belinda","Bell"
"Benedict","Ben"
"Bertram","Bert"
"Blanche","Bea"
"Boetius","Bo"
"Bradford","Ford"
"Caldonia","Dona"
"Calvin","Cal"
"Cameron","Cam"
"Caroline","Carol"
"Caswell","Cass"
"Cecilia","Celia"
"Cedrick","Ced"
"Celeste","Celia"
"Celinda","Linda"
"Charity","Chat"
"Charles","Buck"
"Charlotte","Carlotta"
"Chauncy","Chan"
"Christian","Christopher"
"Christopher","Kester"
"Clarence","Clare"
"Clarissa","Clarice"
"Cleatus","Cleat"
"Clement","Clem"
"Clifford","Ford"
"Clifton","Cliff"
"Columbus","Clum"
"Conrad","Con"
"Cordelia","Delia"
"Corinne","Cora"
"Courtney","Curt"
"Curtis","Curt"
"Cyrenius","Cy"
"Dalton","Dahl"
"Daniel","Dan"
"Danielle","Danelle"
"Daphne","Daph"
"Darlene","Lena"
"Deborah","Deb"
"Deidre","DeeDee"
"Delbert","Bert"
"Delilah","Dell"
"Delores","Dee"
"Demerias","Maris"
"Denise","Denys"
"Derrick","Eric"
"Dominic","Dom"
"Donald","Don"
"Dorothy","Dee"
"Douglas","Doug"
"Duncan","Dunk"
"Earnest","Ernest"
"Ebenezer","Eben"
"Edmund","Ed"
"Edward","Ed"
"Egbert","Bert"
"Elaine","Helen"
"Elbertson","Bert"
"Eleanor","Elaine"
"Eleazer","Lazar"
"Electra","Electa"
"Eliphalet","Eliphal"
"Elmira","Mira"
