zip,fips (st+cou),cname (abbr),allocate,zpop,lzpop,lzden,ru2003,ui2003,ruca2,migmet,Rural/Urban
1001,25013,HampdenM,1,16576,9.716,7.209,2,2,1,100,Urban
1002,25015,Hampshir,0.985,36794,10.513,6.463,2,2,4.1,100,Rural
1005,25027,Worceste,1,5077,8.532,4.788,2,2,2,100,Urban
1007,25015,Hampshir,1,13017,9.474,5.491,2,2,4.1,100,Rural
1008,25013,HampdenM,1,1235,7.119,3.166,2,2,2,100,Urban
1010,25013,HampdenM,1,3348,8.116,4.564,2,2,2.1,100,Urban
1011,25013,HampdenM,0.581,2069,7.635,3.598,2,2,2,100,Urban
1012,25015,Hampshir,1,523,6.26,3.459,2,2,2,100,Urban
1013,25013,HampdenM,1,23148,10.05,8.294,2,2,1,100,Urban
1020,25013,HampdenM,1,29174,10.281,7.785,2,2,1,100,Urban
1022,25013,HampdenM,1,2331,7.754,6.155,2,2,1,100,Urban
1026,25015,Hampshir,1,1031,6.938,3.741,2,2,2,100,Urban
1027,25015,Hampshir,1,17489,9.769,6.018,2,2,1,100,Urban
1028,25013,HampdenM,1,14137,9.557,6.993,2,2,1,100,Urban
1029,25003,Berkshir,1,572,6.349,3.838,3,2,10.4,100,Rural
1030,25013,HampdenM,1,11568,9.356,6.96,2,2,1,100,Urban
1031,25027,Worceste,1,1263,7.141,4.766,2,2,2.1,100,Urban
1032,25015,Hampshir,1,212,5.357,3.463,2,2,2,100,Urban
1033,25015,Hampshir,0.994,6139,8.722,5.379,2,2,1,100,Urban
1034,25013,HampdenM,1,1926,7.563,3.282,2,2,2,100,Urban
1035,25015,Hampshir,1,4793,8.475,5.358,2,2,1,100,Urban
1036,25013,HampdenM,1,5134,8.544,5.566,2,2,1,100,Urban
1037,25027,Worceste,1,710,6.565,3.593,2,2,2,100,Urban
1038,25015,Hampshir,1,2558,7.847,5.554,2,2,1,100,Urban
1039,25015,Hampshir,1,1128,7.028,4.902,2,2,2,100,Urban
1040,25013,HampdenM,1,39838,10.593,7.497,2,2,1,100,Urban
1050,25015,Hampshir,0.956,2404,7.785,4.097,2,2,2,100,Urban
1053,25015,Hampshir,1,1452,7.281,5.769,2,2,1,100,Urban
1054,25011,Franklin,1,1444,7.275,4.192,2,2,6.1,100,Rural
1056,25013,HampdenM,1,21172,9.96,6.676,2,2,1,100,Urban
1057,25013,HampdenM,1,8257,9.019,5.222,2,2,2,100,Urban
1060,25015,Hampshir,1,16274,9.697,7.252,2,2,1,100,Urban
1062,25015,Hampshir,1,11225,9.326,6.423,2,2,1,100,Urban
1068,25027,Worceste,1,1716,7.448,4.407,2,2,1,100,Urban
1069,25013,HampdenM,1,9884,9.199,5.819,2,2,1,100,Urban
1070,25015,Hampshir,1,566,6.339,3.382,2,2,2,100,Urban
1071,25013,HampdenM,1,1654,7.411,4.544,2,2,2,100,Urban
1072,25011,Franklin,1,1458,7.285,4.236,2,2,6.1,100,Rural
1073,25015,Hampshir,1,5387,8.592,5.323,2,2,2,100,Urban
1075,25015,Hampshir,1,17226,9.754,6.881,2,2,1,100,Urban
1077,25013,HampdenM,1,8835,9.086,5.654,2,2,1,100,Urban
1080,25013,HampdenM,1,2627,7.874,6.9,2,2,1,100,Urban
1081,25013,HampdenM,1,1641,7.403,4.78,2,2,2.1,100,Urban
1082,25015,Hampshir,0.975,9961,9.206,5.443,2,2,2,100,Urban
1083,25027,Worceste,1,2285,7.734,5.146,2,2,2,100,Urban
1084,25015,Hampshir,1,147,4.99,2.913,2,2,2,100,Urban
1085,25013,HampdenM,1,40729,10.615,6.474,2,2,1,100,Urban
1088,25015,Hampshir,1,612,6.417,4.714,2,2,1,100,Urban
1089,25013,HampdenM,1,27899,10.236,7.468,2,2,1,100,Urban
1092,25027,Worceste,1,1087,6.991,5.188,2,2,2,100,Urban
1095,25013,HampdenM,1,13650,9.521,6.362,2,2,1,100,Urban
1096,25015,Hampshir,1,2623,7.872,4.235,2,2,2,100,Urban
1098,25015,Hampshir,1,1235,7.119,3.658,2,2,2,100,Urban
1103,25013,HampdenM,1,2661,7.886,8.893,2,2,1,100,Urban
1104,25013,HampdenM,1,22383,10.016,8.248,2,2,1,100,Urban
1105,25013,HampdenM,1,13138,9.483,9.189,2,2,1,100,Urban
1106,25013,HampdenM,1,15882,9.673,7.416,2,2,1,100,Urban
1107,25013,HampdenM,1,11333,9.335,9.111,2,2,1,100,Urban
1108,25013,HampdenM,1,25828,10.159,8.917,2,2,1,100,Urban
1109,25013,HampdenM,1,30655,10.331,8.685,2,2,1,100,Urban
1118,25013,HampdenM,1,14271,9.566,8.254,2,2,1,100,Urban
1119,25013,HampdenM,1,13329,9.498,8.229,2,2,1,100,Urban
1128,25013,HampdenM,1,2993,8.004,7.905,2,2,1,100,Urban
1129,25013,HampdenM,1,6931,8.844,7.633,2,2,1,100,Urban
1151,25013,HampdenM,1,8311,9.025,8.161,2,2,1,100,Urban
1201,25003,Berkshir,1,47623,10.771,6.492,3,2,1,100,Urban
1220,25003,Berkshir,1,9442,9.153,5.702,3,2,4.2,100,Rural
1222,25003,Berkshir,1,853,6.749,5.225,3,2,10.6,100,Rural
1223,25003,Berkshir,1,1715,7.447,3.373,3,2,2,100,Urban
1225,25003,Berkshir,1,2768,7.926,4.882,3,2,2,100,Urban
1226,25003,Berkshir,1,7865,8.97,4.913,3,2,1,100,Urban
1230,25003,Berkshir,1,9157,9.122,4.453,3,2,7.3,100,Rural
1235,25003,Berkshir,1,2536,7.838,4.119,3,2,2,100,Urban
1236,25003,Berkshir,1,2135,7.666,5.287,3,2,7.3,100,Rural
1237,25003,Berkshir,1,2450,7.804,4.09,3,2,1,100,Urban
1238,25003,Berkshir,1,6416,8.767,4.743,3,2,7.3,100,Rural
1240,25003,Berkshir,1,5170,8.551,5.274,3,2,7.3,100,Rural
1242,25003,Berkshir,1,114,4.736,7.177,3,2,7.3,100,Rural
1245,25003,Berkshir,1,956,6.863,3.515,3,2,10.6,100,Rural
1247,25003,Berkshir,1,17043,9.743,5.691,3,2,4.2,100,Rural
1253,25003,Berkshir,1,692,6.54,3.693,3,2,10.4,100,Rural
1254,25003,Berkshir,1,1030,6.937,4.389,3,2,2,100,Urban
1255,25003,Berkshir,1,752,6.623,2.781,3,2,10.4,100,Rural
1256,25003,Berkshir,1,705,6.558,2.951,3,2,5.2,100,Rural
1257,25003,Berkshir,1,2290,7.736,4.118,3,2,10.6,100,Rural
1258,25003,Berkshir,1,130,4.868,1.766,3,2,9,100,Rural
1259,25003,Berkshir,1,559,6.326,3.49,3,2,9,100,Rural
1262,25003,Berkshir,1,817,6.706,5.098,3,2,9,100,Rural
1264,25003,Berkshir,1,234,5.455,2.984,3,2,7.3,100,Rural
1266,25003,Berkshir,1,1742,7.463,4.204,3,2,3,100,Urban
1267,25003,Berkshir,1,8738,9.075,4.992,3,2,4.2,100,Rural
1301,25011,Franklin,1,18482,9.825,6.502,2,2,4.2,100,Rural
1330,25011,Franklin,1,1590,7.371,3.786,2,2,10.5,100,Rural
1331,25027,Worceste,1,12922,9.467,5.438,2,2,4.2,100,Rural
1337,25011,Franklin,1,2619,7.871,4.29,2,2,5,100,Rural
1338,25011,Franklin,1,51,3.932,4.328,2,2,10.5,100,Rural
1339,25011,Franklin,1,1973,7.587,3.368,2,2,6,100,Rural
1340,25011,Franklin,1,1880,7.539,3.702,2,2,6,100,Rural
1341,25011,Franklin,1,1738,7.46,3.902,2,2,10.5,100,Rural
1342,25011,Franklin,1,1014,6.922,4.165,2,2,3,100,Urban
1344,25011,Franklin,1,871,6.77,4.197,2,2,6,100,Rural
1346,25011,Franklin,1,290,5.67,3.495,2,2,6,100,Rural
1349,25011,Franklin,1,1613,7.386,5.189,2,2,4.2,100,Rural
1350,25011,Franklin,1,93,4.533,2.162,2,2,6,100,Rural
1351,25011,Franklin,1,2349,7.762,4.765,2,2,4.2,100,Rural
1355,25011,Franklin,1,873,6.772,2.933,2,2,6.1,100,Rural
1360,25011,Franklin,1,2951,7.99,4.458,2,2,5,100,Rural
1364,25011,Franklin,1,7583,8.934,5.348,2,2,4.2,100,Rural
1366,25027,Worceste,1,1171,7.066,3.102,2,2,3,100,Urban
1367,25011,Franklin,1,361,5.889,2.712,2,2,6,100,Rural
1368,25027,Worceste,1,1251,7.132,3.335,2,2,2.1,100,Urban
1370,25011,Franklin,1,4432,8.397,4.47,2,2,10.5,100,Rural
1373,25011,Franklin,1,5309,8.577,4.988,2,2,3,100,Urban
1375,25011,Franklin,1,3776,8.236,5.594,2,2,4.1,100,Rural
1376,25011,Franklin,1,6488,8.778,5.969,2,2,4.2,100,Rural
1378,25011,Franklin,1,750,6.62,3.01,2,2,6,100,Rural
1379,25011,Franklin,1,891,6.792,3.529,2,2,6,100,Rural
1380,25011,Franklin,1,90,4.5,2.739,2,2,6,100,Rural
1420,25027,Worceste,1,39100,10.574,7.275,2,2,1,100,Urban
1430,25027,Worceste,1,5554,8.622,5.011,2,2,2.1,100,Urban
1431,25017,Middlese,1,2845,7.953,4.784,1,1,2.1,100,Urban
1432,25017,Middlese,0.907,8042,8.992,6.537,1,1,1,100,Urban
1436,25027,Worceste,1,3097,8.038,5.736,2,2,1,100,Urban
1438,25027,Worceste,1,137,4.92,7.282,2,2,1,100,Urban
1440,25027,Worceste,1,21130,9.958,6.734,2,2,1,100,Urban
1450,25017,Middlese,1,9547,9.164,5.681,1,1,1,100,Urban
1451,25027,Worceste,1,5000,8.517,5.378,2,2,2,100,Urban
1452,25027,Worceste,1,3909,8.271,4.518,2,2,2.1,100,Urban
1453,25027,Worceste,1,41410,10.631,7.2,2,2,1,100,Urban
1460,25017,Middlese,1,8180,9.009,6.199,1,1,1,100,Urban
1462,25027,Worceste,1,9403,9.149,5.875,2,2,1,100,Urban
1463,25017,Middlese,1,11142,9.318,6.202,1,1,2,100,Urban
1464,25017,Middlese,1,6373,8.76,5.93,1,1,1,100,Urban
1467,25027,Worceste,1,230,5.438,4.839,2,2,2,100,Urban
1468,25027,Worceste,1,3228,8.08,5.023,2,2,1,100,Urban
1469,25017,Middlese,1,6200,8.732,5.738,1,1,1,100,Urban
